Date Time	Download Speed
2019-07-30 23:04:22	125.90	
2019-07-30 23:09:44	88.01	
2019-07-30 23:15:07	92.99	
2019-07-30 23:20:30	108.45	
2019-07-30 23:25:53	106.07	
2019-07-30 23:31:17	147.43	
2019-07-30 23:36:39	131.70	
2019-07-30 23:42:01	111.78	
2019-07-30 23:47:23	125.14	
2019-07-30 23:52:45	109.26	
2019-07-30 23:58:08	156.79	
2019-07-31 00:03:30	137.96	
2019-07-31 00:08:52	161.77	
2019-07-31 00:14:14	161.90	
2019-07-31 00:19:36	146.75	
2019-07-31 00:25:00	107.75	
2019-07-31 00:30:22	99.19	
2019-07-31 00:35:44	170.91	
2019-07-31 00:41:06	129.29	
2019-07-31 00:46:28	99.21	
2019-07-31 00:51:50	85.89	
2019-07-31 00:57:14	130.05	
2019-07-31 01:02:37	134.84	
2019-07-31 01:08:00	93.57	
2019-07-31 01:13:29	37.40	
2019-07-31 01:18:51	109.84	
2019-07-31 01:24:15	152.47	
2019-07-31 01:29:37	108.65	
2019-07-31 01:34:59	84.12	
2019-07-31 01:40:21	138.87	
2019-07-31 01:45:44	91.91	
2019-07-31 01:51:06	106.38	
2019-07-31 01:56:28	125.45	
2019-07-31 02:01:50	121.86	
2019-07-31 02:07:12	114.12	
2019-07-31 02:12:34	76.12	
2019-07-31 02:17:57	121.18	
2019-07-31 02:23:20	94.96	
2019-07-31 02:28:43	167.67	
2019-07-31 02:34:05	125.67	
2019-07-31 02:39:28	109.34	
2019-07-31 02:44:50	148.98	
2019-07-31 02:50:12	150.60	
2019-07-31 02:55:35	112.91	
2019-07-31 03:00:57	151.66	
2019-07-31 03:06:19	95.50	
2019-07-31 03:11:41	112.83	
2019-07-31 03:17:05	132.47	
2019-07-31 03:22:27	170.02	
2019-07-31 03:27:49	164.31	
2019-07-31 03:33:11	168.87	
2019-07-31 03:38:34	165.14	
2019-07-31 03:43:56	138.17	
2019-07-31 03:49:18	84.73	
2019-07-31 03:54:40	74.82	
2019-07-31 04:00:02	151.90	
2019-07-31 04:05:25	114.26	
2019-07-31 04:10:47	130.61	
2019-07-31 04:16:09	115.27	
2019-07-31 04:21:32	102.72	
2019-07-31 04:26:54	141.67	
2019-07-31 04:32:16	151.85	
2019-07-31 04:37:38	148.47	
2019-07-31 04:43:00	161.51	
2019-07-31 04:48:22	152.52	
2019-07-31 04:53:44	90.72	
2019-07-31 04:59:07	82.96	
2019-07-31 05:04:29	78.51	
2019-07-31 05:09:52	90.96	
2019-07-31 05:15:14	76.36	
2019-07-31 05:20:36	122.29	
2019-07-31 05:25:58	116.69	
2019-07-31 05:31:21	147.92	
2019-07-31 05:36:44	129.21	
2019-07-31 05:42:06	114.61	
2019-07-31 05:47:28	137.53	
2019-07-31 05:52:50	133.73	
2019-07-31 05:58:13	99.86	
2019-07-31 06:03:35	114.81	
2019-07-31 06:08:57	157.66	
2019-07-31 06:14:20	92.49	
2019-07-31 06:19:44	163.76	
2019-07-31 06:25:06	108.51	
2019-07-31 06:30:28	168.75	
2019-07-31 06:35:52	122.27	
2019-07-31 06:41:14	98.35	
2019-07-31 06:46:36	91.53	
2019-07-31 06:51:58	152.46	
2019-07-31 06:57:20	88.17	
2019-07-31 07:02:43	124.55	
2019-07-31 07:08:05	107.86	
2019-07-31 07:13:32	134.08	
2019-07-31 07:18:54	114.93	
2019-07-31 07:24:16	123.52	
2019-07-31 07:29:38	93.00	
2019-07-31 07:35:00	137.83	
2019-07-31 07:40:23	105.33	
2019-07-31 07:45:46	133.19	
2019-07-31 07:51:08	112.12	
2019-07-31 07:56:31	91.94	
2019-07-31 08:01:53	105.15	
2019-07-31 08:07:15	102.46	
2019-07-31 08:12:37	64.64	
2019-07-31 08:17:59	153.38	
2019-07-31 08:23:21	74.32	
2019-07-31 08:28:46	111.67	
2019-07-31 08:34:08	97.63	
2019-07-31 08:39:30	75.63	
2019-07-31 08:44:53	132.78	
2019-07-31 08:50:15	80.01	
2019-07-31 08:55:37	104.77	
2019-07-31 09:00:59	63.80	
2019-07-31 09:06:21	82.24	
2019-07-31 09:11:43	100.12	
2019-07-31 09:17:06	79.23	
2019-07-31 09:22:28	81.15	
2019-07-31 09:27:50	109.78	
2019-07-31 09:33:12	72.59	
2019-07-31 09:38:34	129.51	
2019-07-31 09:43:57	75.66	
2019-07-31 09:49:19	87.54	
2019-07-31 09:54:42	113.66	
2019-07-31 10:00:05	90.39	
2019-07-31 10:05:27	119.60	
2019-07-31 10:10:49	85.36	
2019-07-31 10:16:11	102.15	
2019-07-31 10:21:33	116.01	
2019-07-31 10:26:55	72.54	
2019-07-31 10:32:18	125.80	
2019-07-31 10:37:40	135.63	
2019-07-31 10:43:02	96.15	
2019-07-31 10:48:24	147.07	
2019-07-31 10:53:48	102.26	
2019-07-31 10:59:10	110.27	
2019-07-31 11:04:32	75.89	
2019-07-31 11:09:54	86.32	
2019-07-31 11:15:16	129.47	
2019-07-31 11:20:39	88.66	
2019-07-31 11:26:01	83.78	
2019-07-31 11:31:23	74.25	
2019-07-31 11:36:45	83.38	
2019-07-31 11:42:08	89.21	
2019-07-31 11:47:30	74.64	
2019-07-31 11:52:53	82.16	
2019-07-31 11:58:16	163.14	
2019-07-31 12:03:38	123.43	
2019-07-31 12:09:00	148.52	
2019-07-31 12:14:22	142.00	
2019-07-31 12:19:45	139.15	
2019-07-31 12:25:07	106.77	
2019-07-31 12:30:31	152.66	
2019-07-31 12:35:53	96.62	
2019-07-31 12:41:15	135.36	
2019-07-31 12:46:37	117.28	
2019-07-31 12:51:59	85.90	
2019-07-31 12:57:21	161.46	
2019-07-31 13:02:43	93.99	
2019-07-31 13:08:06	108.87	
2019-07-31 13:13:28	96.46	
2019-07-31 13:18:50	101.59	
2019-07-31 13:24:12	159.81	
2019-07-31 13:29:34	143.60	
2019-07-31 13:34:56	125.61	
2019-07-31 13:39:56	0	
2019-07-31 13:44:56	0	
2019-07-31 13:51:09	134.95	
2019-07-31 13:56:31	102.24	
2019-07-31 14:01:31	0	
2019-07-31 14:06:31	0	
2019-07-31 14:11:31	0	
2019-07-31 14:16:31	0	
2019-07-31 14:23:14	107.00	
2019-07-31 14:28:36	115.44	
2019-07-31 14:33:59	127.00	
2019-07-31 14:39:21	105.67	
2019-07-31 14:44:44	95.55	
2019-07-31 14:50:06	122.16	
2019-07-31 14:55:28	173.46	
2019-07-31 15:00:51	126.56	
2019-07-31 15:06:13	113.58	
2019-07-31 15:11:35	157.71	
2019-07-31 15:16:57	166.92	
2019-07-31 15:22:19	173.05	
2019-07-31 15:27:42	120.27	
2019-07-31 15:33:04	110.27	
2019-07-31 15:38:26	134.93	
2019-07-31 15:43:49	171.17	
2019-07-31 15:49:12	175.15	
2019-07-31 15:54:34	157.73	
2019-07-31 15:59:56	109.63	
2019-07-31 16:05:18	115.13	
2019-07-31 16:10:40	116.37	
2019-07-31 16:15:40	0	
2019-07-31 16:21:23	167.35	
2019-07-31 16:26:45	168.83	
2019-07-31 16:32:07	159.19	
2019-07-31 16:37:29	144.28	
2019-07-31 16:42:52	130.67	
2019-07-31 16:48:14	110.34	
2019-07-31 16:53:36	140.88	
2019-07-31 16:59:00	172.87	
2019-07-31 17:04:22	90.10	
2019-07-31 17:09:44	119.02	
2019-07-31 17:15:06	98.35	
2019-07-31 17:20:29	125.18	
2019-07-31 17:25:51	129.97	
2019-07-31 17:31:14	130.29	
2019-07-31 17:36:36	87.56	
2019-07-31 17:41:58	171.99	
2019-07-31 17:47:25	148.21	
2019-07-31 17:52:47	156.55	
2019-07-31 17:58:10	155.28	
2019-07-31 18:03:32	156.32	
2019-07-31 18:08:54	140.24	
2019-07-31 18:14:16	136.34	
2019-07-31 18:19:40	135.46	
2019-07-31 18:25:02	128.30	
2019-07-31 18:30:24	120.99	
2019-07-31 18:35:46	120.04	
2019-07-31 18:41:08	124.83	
2019-07-31 18:46:31	163.70	
2019-07-31 18:51:53	162.97	
2019-07-31 18:57:15	134.03	
2019-07-31 19:02:37	100.96	
